rule,rep,similarity_25ms,similarity_100ms,similarity_250ms,trajectory_speed,temporal_selectivity,halfmax_width_ms,peak_time_dispersion_ms,mean_time_separation,weight_norm_rate_r,weight_norm_temporal_selectivity_r
T_STDP,7,0.9998270158331127,0.9996878461353161,0.9994222222624234,0.0001729841668872112,0.09131062978580788,445.23809523809524,96.02091841798234,0.6607398914251363,0.9848018199017045,-0.10228597662206736
SRDP,7,0.9991756965782089,0.9953655868869815,0.9795177201537479,0.0008243034217909084,0.05892024637248015,444.3452380952381,131.49269962312493,0.4002609276376683,0.8481515132169579,0.8082964504584005
STDP,8,0.9998631921770779,0.999773912672956,0.9996152135643136,0.0001368078229219847,0.022714366990717282,481.9377990430622,74.20349814473516,0.5126679673882883,0.9715951503415994,0.22603277448964304
T_STDP,8,0.9996982442671704,0.9991522141532154,0.9985478872132194,0.0003017557328296778,0.07627266560281083,452.55102040816325,52.76561226576705,0.6608085570797348,0.9470504216397434,-0.021008394624260733
SRDP,8,0.9982499159716497,0.9917774540886798,0.9728022829045724,0.001750084028350177,0.0906785888288712,380.0646551724138,94.43284557152103,0.639710624548589,0.643668610106441,0.7607241374436591
STDP,9,0.9997869744184739,0.9996591477889004,0.9994509807925075,0.00021302558152610403,0.029009815759527238,478.2216494845361,93.3096083104238,0.5403657309112893,0.9825184165594053,0.07092003522786577
T_STDP,9,0.9997183248763543,0.9994100993012804,0.9988306155036657,0.00028167512364572474,0.05540955360578198,463.030303030303,72.43711751641703,0.7234934976416116,0.9713923962275453,-0.06799919974642507
SRDP,9,0.9991630632838312,0.9959951224659831,0.9811554663586664,0.0008369367161687545,0.07757436789870409,429.72636815920396,53.9848652090731,0.43534689694911044,0.9198392216908821,0.6579150524656123
STDP,10,0.9996008921771121,0.9992496615489097,0.9987375279521311,0.0003991078228878932,0.024413379591559713,478.3967391304348,88.5322893794702,0.6356992486687566,0.9847461057235047,0.9103422299266213
T_STDP,10,0.9995684129553941,0.999026447771785,0.9981489331010718,0.00043158704460590533,0.06122477421518777,459.78915662650604,86.15080132854791,0.7067272016045079,0.9843180741958623,-0.08577982806858037
SRDP,10,0.9977945955596927,0.9852593799723566,0.9276269890586132,0.002205404440307144,0.14355247435853194,371.8911917098446,115.13067967495876,0.48209413410156954,0.706899219173056,0.5803339165741165
