rule,rep,lag_windows,lag_ms,same_class_cosine_similarity
SRDP,1,10,250,0.9429077563086306
SRDP,1,11,275,0.9322285701300052
SRDP,1,12,300,0.921908409497326
SRDP,1,13,325,0.9125029105842378
SRDP,1,14,350,0.9038449956911151
SRDP,1,15,375,0.8950160749021278
SRDP,1,16,400,0.8849693949696873
SRDP,1,17,425,0.8750443025645537
SRDP,1,18,450,0.8650346999032836
SRDP,1,19,475,0.8455024321367925
STDP,2,0,0,1.0
STDP,2,1,25,0.9997817364808554
STDP,2,2,50,0.9996839387316994
STDP,2,3,75,0.9996412390974451
STDP,2,4,100,0.9995965507188973
STDP,2,5,125,0.9995559921819106
STDP,2,6,150,0.9995102430638185
STDP,2,7,175,0.99947092940028
STDP,2,8,200,0.9994254490568725
STDP,2,9,225,0.9993756692573554
STDP,2,10,250,0.9993033550776715
STDP,2,11,275,0.9992254746332454
STDP,2,12,300,0.9991361178949798
STDP,2,13,325,0.9990346975787865
STDP,2,14,350,0.9988583784858235
STDP,2,15,375,0.9986420172905429
STDP,2,16,400,0.9983077537143058
STDP,2,17,425,0.9978460491621183
STDP,2,18,450,0.9968432175608247
STDP,2,19,475,0.9943327496664857
T_STDP,2,0,0,1.0
T_STDP,2,1,25,0.9994055430203689
T_STDP,2,2,50,0.9986312520104631
T_STDP,2,3,75,0.9980346990340645
T_STDP,2,4,100,0.9975704328659407
T_STDP,2,5,125,0.997090996347957
T_STDP,2,6,150,0.996583220419811
T_STDP,2,7,175,0.9960431011146333
T_STDP,2,8,200,0.9954936526777773
T_STDP,2,9,225,0.9949371402476376
T_STDP,2,10,250,0.9943336623309978
T_STDP,2,11,275,0.9937076062186591
T_STDP,2,12,300,0.9931761561884205
T_STDP,2,13,325,0.9927396416387403
T_STDP,2,14,350,0.9925010545794866
T_STDP,2,15,375,0.992527863885871
T_STDP,2,16,400,0.9929357150851035
T_STDP,2,17,425,0.9938720579213767
T_STDP,2,18,450,0.9947112513675542
T_STDP,2,19,475,0.9931916120264908
SRDP,2,0,0,1.0
SRDP,2,1,25,0.997839628256211
SRDP,2,2,50,0.9949933013438191
SRDP,2,3,75,0.9910103814875337
SRDP,2,4,100,0.9858434600171629
SRDP,2,5,125,0.9794059810544419
SRDP,2,6,150,0.9722356151611999
SRDP,2,7,175,0.9639798854008512
SRDP,2,8,200,0.9550122190229731
SRDP,2,9,225,0.9458681872426887
SRDP,2,10,250,0.9361062601708561
SRDP,2,11,275,0.9249611638495703
SRDP,2,12,300,0.9131536084007641
SRDP,2,13,325,0.9022615887738354
SRDP,2,14,350,0.8910550519210294
SRDP,2,15,375,0.8770692165666528
SRDP,2,16,400,0.8622027769477716
SRDP,2,17,425,0.8431102117092206
SRDP,2,18,450,0.818532543542168
SRDP,2,19,475,0.7752586720324399
STDP,3,0,0,1.0
STDP,3,1,25,0.9998697395838021
STDP,3,2,50,0.9998259451025098
STDP,3,3,75,0.9998030101429077
STDP,3,4,100,0.9997824608778835
STDP,3,5,125,0.9997658443983201
STDP,3,6,150,0.9997302568393194
STDP,3,7,175,0.9997098801867098
STDP,3,8,200,0.9996843078850844
STDP,3,9,225,0.9996462860722496
STDP,3,10,250,0.9996157462454726
STDP,3,11,275,0.9995880075613783
STDP,3,12,300,0.9995685529366944
STDP,3,13,325,0.9995319702603499
STDP,3,14,350,0.9994775933341621
STDP,3,15,375,0.9993867754400444
STDP,3,16,400,0.9992839820551962
STDP,3,17,425,0.9991306611535675
STDP,3,18,450,0.9988124026164972
STDP,3,19,475,0.9977146725679653
T_STDP,3,0,0,1.0
T_STDP,3,1,25,0.999777766789628
T_STDP,3,2,50,0.9995103729956971
T_STDP,3,3,75,0.9992569687593691
T_STDP,3,4,100,0.9990805390136559
T_STDP,3,5,125,0.9988999433436182
T_STDP,3,6,150,0.9986758629996009
T_STDP,3,7,175,0.9984761036508873
T_STDP,3,8,200,0.9983324903806788
T_STDP,3,9,225,0.9981764080619545
T_STDP,3,10,250,0.9979635112491231
T_STDP,3,11,275,0.9977720562880871
T_STDP,3,12,300,0.9976718660494572
T_STDP,3,13,325,0.9976764968681854
T_STDP,3,14,350,0.9977261583183145
T_STDP,3,15,375,0.9978400400882469
T_STDP,3,16,400,0.9980522117352874
T_STDP,3,17,425,0.9983437628785978
T_STDP,3,18,450,0.998160966015925
T_STDP,3,19,475,0.9969885997278338
SRDP,3,0,0,1.0
SRDP,3,1,25,0.9981888075019866
SRDP,3,2,50,0.9955740033548192
SRDP,3,3,75,0.9921357080032427
SRDP,3,4,100,0.9878635326754575
SRDP,3,5,125,0.982625052042556
SRDP,3,6,150,0.9764599379768232
SRDP,3,7,175,0.9691440381705676
SRDP,3,8,200,0.9615279059099716
SRDP,3,9,225,0.9536572372384712
SRDP,3,10,250,0.9450504412711321
SRDP,3,11,275,0.9351922980739062
SRDP,3,12,300,0.92478531666712
SRDP,3,13,325,0.9153851703763547
SRDP,3,14,350,0.9073298455217422
SRDP,3,15,375,0.8971282119796079
SRDP,3,16,400,0.8860577742844111
SRDP,3,17,425,0.8737665606355046
SRDP,3,18,450,0.8618217750171765
SRDP,3,19,475,0.8434058403510816
STDP,4,0,0,1.0
STDP,4,1,25,0.9997894396168409
STDP,4,2,50,0.9997024511984082
STDP,4,3,75,0.9996720647544961
STDP,4,4,100,0.9996419408868817
STDP,4,5,125,0.9996122435935447
STDP,4,6,150,0.999570982857845
STDP,4,7,175,0.9995413989185804
STDP,4,8,200,0.9995213863403393
STDP,4,9,225,0.999458286331469
STDP,4,10,250,0.9994019256728581
STDP,4,11,275,0.9993524504619944
STDP,4,12,300,0.999291493735914
STDP,4,13,325,0.9991868444057553
STDP,4,14,350,0.9990783441027874
STDP,4,15,375,0.9989096778244984
STDP,4,16,400,0.998733241838093
STDP,4,17,425,0.9984267443979821
STDP,4,18,450,0.9978047941761912
STDP,4,19,475,0.9960284288741064
T_STDP,4,0,0,1.0
T_STDP,4,1,25,0.9995474289705663
T_STDP,4,2,50,0.9992819914939619
T_STDP,4,3,75,0.9991392982406874
T_STDP,4,4,100,0.9990075078477757
T_STDP,4,5,125,0.9988398908454665
T_STDP,4,6,150,0.9986475327245756
T_STDP,4,7,175,0.9984849155953202
T_STDP,4,8,200,0.9983173453508982
T_STDP,4,9,225,0.9980700482755392
T_STDP,4,10,250,0.9978155086160003
T_STDP,4,11,275,0.9975782762111147
T_STDP,4,12,300,0.9972773251702202
T_STDP,4,13,325,0.9969615100569633
T_STDP,4,14,350,0.9966036344565348
T_STDP,4,15,375,0.9961828772148739
T_STDP,4,16,400,0.9955886824956992
T_STDP,4,17,425,0.9948655971767716
T_STDP,4,18,450,0.9935805164794075
T_STDP,4,19,475,0.9899813540900825
SRDP,4,0,0,1.0
SRDP,4,1,25,0.9979058928220191
SRDP,4,2,50,0.9949693866435747
SRDP,4,3,75,0.9912974459801472
SRDP,4,4,100,0.9873500425742148
SRDP,4,5,125,0.9824491611637368
SRDP,4,6,150,0.9768944361377594
SRDP,4,7,175,0.9709847006748168
SRDP,4,8,200,0.9656618041229713
SRDP,4,9,225,0.9609565950832046
SRDP,4,10,250,0.955505261951964
SRDP,4,11,275,0.9491144579115198
SRDP,4,12,300,0.9425474770552875
SRDP,4,13,325,0.9370981927463272
SRDP,4,14,350,0.9323570177682173
SRDP,4,15,375,0.92706427620144
SRDP,4,16,400,0.9207189383365975
SRDP,4,17,425,0.9119678378190604
SRDP,4,18,450,0.9061008990633403
SRDP,4,19,475,0.8939837211687051
STDP,5,0,0,1.0
STDP,5,1,25,0.9998609874784661
STDP,5,2,50,0.9998060701330098
STDP,5,3,75,0.9997795433541006
STDP,5,4,100,0.9997570259727395
STDP,5,5,125,0.9997251066467343
STDP,5,6,150,0.9997011036727577
STDP,5,7,175,0.9996703294626165
STDP,5,8,200,0.9996329277018025
STDP,5,9,225,0.99959414134801
STDP,5,10,250,0.999546378020504
STDP,5,11,275,0.9994877007619571
STDP,5,12,300,0.999425324037696
STDP,5,13,325,0.9993414621161705
STDP,5,14,350,0.9992405827106577
STDP,5,15,375,0.9990881096549215
STDP,5,16,400,0.9989040186666587
STDP,5,17,425,0.9986277381985733
STDP,5,18,450,0.9980699227088071
STDP,5,19,475,0.9964032973056982
T_STDP,5,0,0,1.0
T_STDP,5,1,25,0.9996857603345266
T_STDP,5,2,50,0.9993495747380527
T_STDP,5,3,75,0.9990212887871749
T_STDP,5,4,100,0.9987934973821029
T_STDP,5,5,125,0.9985905505682703
T_STDP,5,6,150,0.9983872571856239
T_STDP,5,7,175,0.9981632828108054
T_STDP,5,8,200,0.9979592138446295
T_STDP,5,9,225,0.997744457720864
T_STDP,5,10,250,0.9975174280942959
T_STDP,5,11,275,0.9972889696494508
T_STDP,5,12,300,0.9970803060025596
T_STDP,5,13,325,0.9969541840530989
T_STDP,5,14,350,0.9968369419846407
T_STDP,5,15,375,0.9967724700428287
T_STDP,5,16,400,0.9967289566038258
T_STDP,5,17,425,0.9966114586814937
T_STDP,5,18,450,0.9956544395184929
T_STDP,5,19,475,0.9927823020117345
SRDP,5,0,0,1.0
SRDP,5,1,25,0.9963580916626282
SRDP,5,2,50,0.9897834708735663
SRDP,5,3,75,0.9796688393183476
