rule,rep,window,start_ms,end_ms,accuracy8
STDP,7,4,100,125,0.29375
STDP,7,5,125,150,0.2587499999999999
STDP,7,6,150,175,0.27125
STDP,7,7,175,200,0.27999999999999997
STDP,7,8,200,225,0.28250000000000003
STDP,7,9,225,250,0.29
STDP,7,10,250,275,0.26874999999999993
STDP,7,11,275,300,0.27749999999999997
STDP,7,12,300,325,0.265
STDP,7,13,325,350,0.29374999999999996
STDP,7,14,350,375,0.2825
STDP,7,15,375,400,0.275
STDP,7,16,400,425,0.27249999999999996
STDP,7,17,425,450,0.2475
STDP,7,18,450,475,0.2475
STDP,7,19,475,500,0.2625
T_STDP,7,0,0,25,0.24624999999999994
T_STDP,7,1,25,50,0.265
T_STDP,7,2,50,75,0.27249999999999996
T_STDP,7,3,75,100,0.28125
T_STDP,7,4,100,125,0.26749999999999996
T_STDP,7,5,125,150,0.24500000000000002
T_STDP,7,6,150,175,0.27625
T_STDP,7,7,175,200,0.26875
T_STDP,7,8,200,225,0.27124999999999994
T_STDP,7,9,225,250,0.27375000000000005
T_STDP,7,10,250,275,0.26625
T_STDP,7,11,275,300,0.25375000000000003
T_STDP,7,12,300,325,0.26375
T_STDP,7,13,325,350,0.30625
T_STDP,7,14,350,375,0.26999999999999996
T_STDP,7,15,375,400,0.25625
T_STDP,7,16,400,425,0.25375
T_STDP,7,17,425,450,0.24874999999999997
T_STDP,7,18,450,475,0.25125000000000003
T_STDP,7,19,475,500,0.25250000000000006
SRDP,7,0,0,25,0.23625
SRDP,7,1,25,50,0.29125
SRDP,7,2,50,75,0.28875
SRDP,7,3,75,100,0.35
SRDP,7,4,100,125,0.36624999999999996
SRDP,7,5,125,150,0.30125
SRDP,7,6,150,175,0.31124999999999997
SRDP,7,7,175,200,0.32625000000000004
SRDP,7,8,200,225,0.33125
SRDP,7,9,225,250,0.31375000000000003
SRDP,7,10,250,275,0.2875
SRDP,7,11,275,300,0.31625000000000003
SRDP,7,12,300,325,0.28625
SRDP,7,13,325,350,0.3675
SRDP,7,14,350,375,0.32625000000000004
SRDP,7,15,375,400,0.305
SRDP,7,16,400,425,0.32125
SRDP,7,17,425,450,0.31249999999999994
SRDP,7,18,450,475,0.30875
SRDP,7,19,475,500,0.295
STDP,8,0,0,25,0.22375000000000003
STDP,8,1,25,50,0.24124999999999996
STDP,8,2,50,75,0.27875000000000005
STDP,8,3,75,100,0.295
STDP,8,4,100,125,0.30874999999999997
STDP,8,5,125,150,0.28500000000000003
STDP,8,6,150,175,0.28874999999999995
STDP,8,7,175,200,0.2800000000000001
STDP,8,8,200,225,0.2725000000000001
STDP,8,9,225,250,0.26
STDP,8,10,250,275,0.25125000000000003
STDP,8,11,275,300,0.27375
STDP,8,12,300,325,0.295
STDP,8,13,325,350,0.30624999999999997
STDP,8,14,350,375,0.27
STDP,8,15,375,400,0.26375
STDP,8,16,400,425,0.27875
STDP,8,17,425,450,0.2975
STDP,8,18,450,475,0.26375
STDP,8,19,475,500,0.25375
T_STDP,8,0,0,25,0.215
T_STDP,8,1,25,50,0.26625
T_STDP,8,2,50,75,0.28625
T_STDP,8,3,75,100,0.26625
T_STDP,8,4,100,125,0.31375000000000003
T_STDP,8,5,125,150,0.31999999999999995
T_STDP,8,6,150,175,0.31124999999999997
T_STDP,8,7,175,200,0.33249999999999996
T_STDP,8,8,200,225,0.3
T_STDP,8,9,225,250,0.29625
T_STDP,8,10,250,275,0.2525
T_STDP,8,11,275,300,0.25125000000000003
T_STDP,8,12,300,325,0.28375
T_STDP,8,13,325,350,0.30625
T_STDP,8,14,350,375,0.26249999999999996
T_STDP,8,15,375,400,0.24749999999999997
T_STDP,8,16,400,425,0.2675
T_STDP,8,17,425,450,0.2925
T_STDP,8,18,450,475,0.255
T_STDP,8,19,475,500,0.25375
SRDP,8,0,0,25,0.23874999999999996
SRDP,8,1,25,50,0.30374999999999996
SRDP,8,2,50,75,0.33625
SRDP,8,3,75,100,0.32874999999999993
SRDP,8,4,100,125,0.3725
SRDP,8,5,125,150,0.3675
SRDP,8,6,150,175,0.32875
SRDP,8,7,175,200,0.325
SRDP,8,8,200,225,0.32375
SRDP,8,9,225,250,0.3025
SRDP,8,10,250,275,0.29125
SRDP,8,11,275,300,0.30874999999999997
SRDP,8,12,300,325,0.305
SRDP,8,13,325,350,0.32375000000000004
SRDP,8,14,350,375,0.32249999999999995
SRDP,8,15,375,400,0.295
SRDP,8,16,400,425,0.30625
SRDP,8,17,425,450,0.31999999999999995
SRDP,8,18,450,475,0.28124999999999994
SRDP,8,19,475,500,0.33125
STDP,9,0,0,25,0.26249999999999996
STDP,9,1,25,50,0.26249999999999996
STDP,9,2,50,75,0.27875
STDP,9,3,75,100,0.255
STDP,9,4,100,125,0.29625
STDP,9,5,125,150,0.29250000000000004
STDP,9,6,150,175,0.26749999999999996
STDP,9,7,175,200,0.26875
STDP,9,8,200,225,0.26875000000000004
STDP,9,9,225,250,0.27625
STDP,9,10,250,275,0.24874999999999997
STDP,9,11,275,300,0.27625
STDP,9,12,300,325,0.28625
STDP,9,13,325,350,0.3
STDP,9,14,350,375,0.29
STDP,9,15,375,400,0.25625
STDP,9,16,400,425,0.2612500000000001
STDP,9,17,425,450,0.28250000000000003
STDP,9,18,450,475,0.25625
STDP,9,19,475,500,0.2525
T_STDP,9,0,0,25,0.26
T_STDP,9,1,25,50,0.27749999999999997
T_STDP,9,2,50,75,0.28375
T_STDP,9,3,75,100,0.265
T_STDP,9,4,100,125,0.28375
T_STDP,9,5,125,150,0.28625
T_STDP,9,6,150,175,0.2375
T_STDP,9,7,175,200,0.2512500000000001
T_STDP,9,8,200,225,0.24500000000000002
T_STDP,9,9,225,250,0.295
T_STDP,9,10,250,275,0.25125000000000003
T_STDP,9,11,275,300,0.265
T_STDP,9,12,300,325,0.29375
T_STDP,9,13,325,350,0.28375
T_STDP,9,14,350,375,0.2925
T_STDP,9,15,375,400,0.2475
T_STDP,9,16,400,425,0.24250000000000002
T_STDP,9,17,425,450,0.27499999999999997
T_STDP,9,18,450,475,0.22125000000000003
T_STDP,9,19,475,500,0.23875000000000002
SRDP,9,0,0,25,0.26999999999999996
SRDP,9,1,25,50,0.28874999999999995
SRDP,9,2,50,75,0.32125
SRDP,9,3,75,100,0.34249999999999997
SRDP,9,4,100,125,0.36875
SRDP,9,5,125,150,0.3375
SRDP,9,6,150,175,0.29624999999999996
SRDP,9,7,175,200,0.30875
SRDP,9,8,200,225,0.32
SRDP,9,9,225,250,0.3225
SRDP,9,10,250,275,0.29625
SRDP,9,11,275,300,0.31625
SRDP,9,12,300,325,0.3175
SRDP,9,13,325,350,0.36125
SRDP,9,14,350,375,0.34875
SRDP,9,15,375,400,0.30874999999999997
SRDP,9,16,400,425,0.315
SRDP,9,17,425,450,0.3325000000000001
SRDP,9,18,450,475,0.33375
SRDP,9,19,475,500,0.33124999999999993
STDP,10,0,0,25,0.22625
STDP,10,1,25,50,0.265
STDP,10,2,50,75,0.24749999999999997
STDP,10,3,75,100,0.2575
STDP,10,4,100,125,0.29125
STDP,10,5,125,150,0.24500000000000002
STDP,10,6,150,175,0.24625
STDP,10,7,175,200,0.27499999999999997
STDP,10,8,200,225,0.28874999999999995
STDP,10,9,225,250,0.28250000000000003
STDP,10,10,250,275,0.2675
STDP,10,11,275,300,0.27125
STDP,10,12,300,325,0.28375000000000006
STDP,10,13,325,350,0.28500000000000003
STDP,10,14,350,375,0.27375000000000005
STDP,10,15,375,400,0.27375000000000005
STDP,10,16,400,425,0.26375
STDP,10,17,425,450,0.265
STDP,10,18,450,475,0.24749999999999997
STDP,10,19,475,500,0.26249999999999996
T_STDP,10,0,0,25,0.21875
T_STDP,10,1,25,50,0.27
T_STDP,10,2,50,75,0.24375
T_STDP,10,3,75,100,0.25625
T_STDP,10,4,100,125,0.3025
T_STDP,10,5,125,150,0.28125
T_STDP,10,6,150,175,0.24125000000000002
T_STDP,10,7,175,200,0.28125
T_STDP,10,8,200,225,0.29125
T_STDP,10,9,225,250,0.275
T_STDP,10,10,250,275,0.2625
T_STDP,10,11,275,300,0.27999999999999997
T_STDP,10,12,300,325,0.2875
T_STDP,10,13,325,350,0.265
T_STDP,10,14,350,375,0.27749999999999997
T_STDP,10,15,375,400,0.28625
T_STDP,10,16,400,425,0.25
T_STDP,10,17,425,450,0.27125
T_STDP,10,18,450,475,0.23374999999999999
T_STDP,10,19,475,500,0.2625
SRDP,10,0,0,25,0.21875
SRDP,10,1,25,50,0.28875
SRDP,10,2,50,75,0.27749999999999997
SRDP,10,3,75,100,0.34500000000000003
SRDP,10,4,100,125,0.3549999999999999
SRDP,10,5,125,150,0.34875
SRDP,10,6,150,175,0.36
SRDP,10,7,175,200,0.36375
SRDP,10,8,200,225,0.33999999999999997
SRDP,10,9,225,250,0.33374999999999994
SRDP,10,10,250,275,0.31249999999999994
SRDP,10,11,275,300,0.31875
SRDP,10,12,300,325,0.3375
SRDP,10,13,325,350,0.33999999999999997
SRDP,10,14,350,375,0.325
SRDP,10,15,375,400,0.35500000000000004
SRDP,10,16,400,425,0.30250000000000005
SRDP,10,17,425,450,0.3375
SRDP,10,18,450,475,0.315
SRDP,10,19,475,500,0.3275
