rule,rep,window,time_ms,between_within_separation
STDP,4,3,87.5,0.5394258010479657
STDP,4,4,112.5,0.6763108098221806
STDP,4,5,137.5,0.7150799566090242
STDP,4,6,162.5,0.6310516419538588
STDP,4,7,187.5,0.4870629360987189
STDP,4,8,212.5,0.6207757609163148
STDP,4,9,237.5,0.6201849812265332
STDP,4,10,262.5,0.45606537741730185
STDP,4,11,287.5,0.5952184641487268
STDP,4,12,312.5,0.6070457322968452
STDP,4,13,337.5,0.63497136119008
STDP,4,14,362.5,0.5751503302253217
STDP,4,15,387.5,0.47578790699651335
STDP,4,16,412.5,0.4860935475444548
STDP,4,17,437.5,0.5489171824722696
STDP,4,18,462.5,0.4907385202914509
STDP,4,19,487.5,0.4495247276923049
T_STDP,4,0,12.5,0.5312103858216992
T_STDP,4,1,37.5,0.6592947987510566
T_STDP,4,2,62.5,0.7015612859134026
T_STDP,4,3,87.5,0.7944729447437104
T_STDP,4,4,112.5,0.9481285685558513
T_STDP,4,5,137.5,0.9640182939332517
T_STDP,4,6,162.5,0.9215774668383938
T_STDP,4,7,187.5,0.7467975590648751
T_STDP,4,8,212.5,0.8474052130930567
T_STDP,4,9,237.5,0.8119906764726152
T_STDP,4,10,262.5,0.6338665014167058
T_STDP,4,11,287.5,0.7661120979636455
T_STDP,4,12,312.5,0.7090273163546585
T_STDP,4,13,337.5,0.780024517104522
T_STDP,4,14,362.5,0.6716493971059019
T_STDP,4,15,387.5,0.5519201743799248
T_STDP,4,16,412.5,0.5147373671288513
T_STDP,4,17,437.5,0.5909689717669717
T_STDP,4,18,462.5,0.5101052637990997
T_STDP,4,19,487.5,0.47972318351793064
SRDP,4,0,12.5,0.47136335386410094
SRDP,4,1,37.5,0.6443193430386682
SRDP,4,2,62.5,0.509527440560568
SRDP,4,3,87.5,0.48786900923385557
SRDP,4,4,112.5,0.5206458731199609
SRDP,4,5,137.5,0.4955146503968272
SRDP,4,6,162.5,0.49352708924120037
SRDP,4,7,187.5,0.48987509419206676
SRDP,4,8,212.5,0.5277608792751073
SRDP,4,9,237.5,0.5111034844185394
SRDP,4,10,262.5,0.4505345886155774
SRDP,4,11,287.5,0.43660463080703854
SRDP,4,12,312.5,0.4662112421262378
SRDP,4,13,337.5,0.5003116825046878
SRDP,4,14,362.5,0.48703073055384277
SRDP,4,15,387.5,0.46448691401124315
SRDP,4,16,412.5,0.3475290302871795
SRDP,4,17,437.5,0.405855448658299
SRDP,4,18,462.5,0.39473366988438163
SRDP,4,19,487.5,0.4105315767253582
STDP,5,0,12.5,0.40707096395533365
STDP,5,1,37.5,0.44335987928423554
STDP,5,2,62.5,0.45176918606902744
STDP,5,3,87.5,0.49155112902307435
STDP,5,4,112.5,0.6039110081566833
STDP,5,5,137.5,0.5001506376188211
STDP,5,6,162.5,0.4888643584815175
STDP,5,7,187.5,0.5265080558064853
STDP,5,8,212.5,0.5594219997299035
STDP,5,9,237.5,0.47742331078889183
STDP,5,10,262.5,0.45415350816366234
STDP,5,11,287.5,0.499555891612018
STDP,5,12,312.5,0.4996326486907673
STDP,5,13,337.5,0.5040222555537852
STDP,5,14,362.5,0.5017442826827071
STDP,5,15,387.5,0.47562062788841863
STDP,5,16,412.5,0.5050850435002358
STDP,5,17,437.5,0.5673325954818397
STDP,5,18,462.5,0.48900684256752536
STDP,5,19,487.5,0.4381473375620966
T_STDP,5,0,12.5,0.4223270280092707
T_STDP,5,1,37.5,0.4980846817660593
T_STDP,5,2,62.5,0.6343894430293466
T_STDP,5,3,87.5,0.7311879854493276
T_STDP,5,4,112.5,0.8591162413176692
T_STDP,5,5,137.5,0.7205531055929632
T_STDP,5,6,162.5,0.715498534009258
T_STDP,5,7,187.5,0.7437666198943598
T_STDP,5,8,212.5,0.7309484487073382
T_STDP,5,9,237.5,0.6453451717790798
T_STDP,5,10,262.5,0.5731019442481587
T_STDP,5,11,287.5,0.6234629194310618
T_STDP,5,12,312.5,0.5728956988137139
T_STDP,5,13,337.5,0.6011493432463763
T_STDP,5,14,362.5,0.5797742239206978
T_STDP,5,15,387.5,0.545192214791602
T_STDP,5,16,412.5,0.6038620886566266
T_STDP,5,17,437.5,0.6653537497399437
T_STDP,5,18,462.5,0.5491239177955458
T_STDP,5,19,487.5,0.4947538196763809
SRDP,5,0,12.5,0.43245091363068894
SRDP,5,1,37.5,0.668548366341438
SRDP,5,2,62.5,0.8662019865489292
SRDP,5,3,87.5,0.6835552819954107
SRDP,5,4,112.5,0.6024290295512889
SRDP,5,5,137.5,0.42711419317023613
SRDP,5,6,162.5,0.3799524933432385
SRDP,5,7,187.5,0.30348582015852626
SRDP,5,8,212.5,0.23316061742214406
SRDP,5,9,237.5,0.2087838975309496
SRDP,5,10,262.5,0.20920469974182862
SRDP,5,11,287.5,0.2261731858357195
