rule,rep,condition,randomization,accuracy8,accuracy3,n_features
T_STDP,9,independent_shift,1,0.31875,0.7449999999999999,800
T_STDP,9,independent_shift,2,0.31500000000000006,0.7499999999999999,800
T_STDP,9,neuron_shuffled,0,0.28625,0.71875,800
T_STDP,9,neuron_shuffled,1,0.2875,0.7025,800
T_STDP,9,neuron_shuffled,2,0.23875000000000002,0.6950000000000001,800
T_STDP,9,rate_matched,0,0.39249999999999996,0.77125,800
T_STDP,9,rate_matched,1,0.39375,0.7675,800
T_STDP,9,rate_matched,2,0.36250000000000004,0.76875,800
SRDP,9,full,0,0.43125,0.7837500000000001,800
SRDP,9,time_collapsed,0,0.38,0.73125,40
SRDP,9,time_shuffled,0,0.36625,0.735,800
SRDP,9,time_shuffled,1,0.37750000000000006,0.7350000000000001,800
SRDP,9,time_shuffled,2,0.37875,0.7424999999999999,800
SRDP,9,independent_shift,0,0.35874999999999996,0.7250000000000001,800
SRDP,9,independent_shift,1,0.37750000000000006,0.73375,800
SRDP,9,independent_shift,2,0.36625,0.7300000000000001,800
SRDP,9,neuron_shuffled,0,0.32999999999999996,0.70375,800
SRDP,9,neuron_shuffled,1,0.34375,0.70625,800
SRDP,9,neuron_shuffled,2,0.36124999999999996,0.7049999999999998,800
SRDP,9,rate_matched,0,0.43125,0.7837500000000001,800
SRDP,9,rate_matched,1,0.43125,0.7837500000000001,800
SRDP,9,rate_matched,2,0.43125,0.7837500000000001,800
STDP,10,full,0,0.40374999999999994,0.7775,800
STDP,10,time_collapsed,0,0.35875,0.7849999999999999,40
STDP,10,time_shuffled,0,0.35,0.7849999999999999,800
STDP,10,time_shuffled,1,0.34500000000000003,0.7849999999999999,800
STDP,10,time_shuffled,2,0.34,0.7825,800
STDP,10,independent_shift,0,0.35124999999999995,0.7837500000000001,800
STDP,10,independent_shift,1,0.3575,0.7849999999999999,800
STDP,10,independent_shift,2,0.35,0.78125,800
STDP,10,neuron_shuffled,0,0.27749999999999997,0.70125,800
STDP,10,neuron_shuffled,1,0.27625,0.6912499999999999,800
STDP,10,neuron_shuffled,2,0.28625,0.6900000000000001,800
STDP,10,rate_matched,0,0.3725,0.7775000000000001,800
STDP,10,rate_matched,1,0.37249999999999994,0.7825,800
STDP,10,rate_matched,2,0.40374999999999994,0.7699999999999999,800
T_STDP,10,full,0,0.40625,0.77875,800
T_STDP,10,time_collapsed,0,0.35374999999999995,0.7862500000000001,40
T_STDP,10,time_shuffled,0,0.3225,0.78625,800
T_STDP,10,time_shuffled,1,0.3375,0.7825000000000001,800
T_STDP,10,time_shuffled,2,0.34750000000000003,0.7849999999999999,800
T_STDP,10,independent_shift,0,0.33875,0.78125,800
T_STDP,10,independent_shift,1,0.34625,0.7875,800
T_STDP,10,independent_shift,2,0.34875,0.7849999999999999,800
T_STDP,10,neuron_shuffled,0,0.2575,0.6875,800
T_STDP,10,neuron_shuffled,1,0.255,0.69125,800
T_STDP,10,neuron_shuffled,2,0.30374999999999996,0.70875,800
T_STDP,10,rate_matched,0,0.37625,0.77875,800
T_STDP,10,rate_matched,1,0.395,0.7787499999999998,800
T_STDP,10,rate_matched,2,0.39875,0.77875,800
SRDP,10,full,0,0.4887499999999999,0.7999999999999999,800
SRDP,10,time_collapsed,0,0.45875000000000005,0.79375,40
SRDP,10,time_shuffled,0,0.43375,0.79125,800
SRDP,10,time_shuffled,1,0.46125,0.79125,800
SRDP,10,time_shuffled,2,0.46875,0.7925000000000001,800
SRDP,10,independent_shift,0,0.43500000000000005,0.7862500000000001,800
SRDP,10,independent_shift,1,0.42750000000000005,0.78125,800
SRDP,10,independent_shift,2,0.4425,0.78875,800
SRDP,10,neuron_shuffled,0,0.39375,0.78375,800
SRDP,10,neuron_shuffled,1,0.36375,0.7649999999999999,800
SRDP,10,neuron_shuffled,2,0.36625,0.7725,800
SRDP,10,rate_matched,0,0.4887499999999999,0.7999999999999999,800
SRDP,10,rate_matched,1,0.4887499999999999,0.7999999999999999,800
SRDP,10,rate_matched,2,0.4887499999999999,0.7999999999999999,800
