rule,rep,window,time_ms,peak_fraction
SRDP,5,13,337.5,0.022727272727272728
SRDP,5,14,362.5,0.0
SRDP,5,15,387.5,0.022727272727272728
SRDP,5,16,412.5,0.0
SRDP,5,17,437.5,0.011363636363636364
SRDP,5,18,462.5,0.017045454545454544
SRDP,5,19,487.5,0.03977272727272727
STDP,6,0,12.5,0.0
STDP,6,1,37.5,0.0
STDP,6,2,62.5,0.11475409836065574
STDP,6,3,87.5,0.16393442622950818
STDP,6,4,112.5,0.060109289617486336
STDP,6,5,137.5,0.12021857923497267
STDP,6,6,162.5,0.12568306010928962
STDP,6,7,187.5,0.22950819672131148
STDP,6,8,212.5,0.060109289617486336
STDP,6,9,237.5,0.04918032786885246
STDP,6,10,262.5,0.00546448087431694
STDP,6,11,287.5,0.00546448087431694
STDP,6,12,312.5,0.0
STDP,6,13,337.5,0.01639344262295082
STDP,6,14,362.5,0.0
STDP,6,15,387.5,0.03825136612021858
STDP,6,16,412.5,0.0
STDP,6,17,437.5,0.00546448087431694
STDP,6,18,462.5,0.0
STDP,6,19,487.5,0.00546448087431694
T_STDP,6,0,12.5,0.0
T_STDP,6,1,37.5,0.0
T_STDP,6,2,62.5,0.14444444444444443
T_STDP,6,3,87.5,0.20555555555555555
T_STDP,6,4,112.5,0.06111111111111111
T_STDP,6,5,137.5,0.12222222222222222
T_STDP,6,6,162.5,0.2
T_STDP,6,7,187.5,0.2611111111111111
T_STDP,6,8,212.5,0.005555555555555556
T_STDP,6,9,237.5,0.0
T_STDP,6,10,262.5,0.0
T_STDP,6,11,287.5,0.0
T_STDP,6,12,312.5,0.0
T_STDP,6,13,337.5,0.0
T_STDP,6,14,362.5,0.0
T_STDP,6,15,387.5,0.0
T_STDP,6,16,412.5,0.0
T_STDP,6,17,437.5,0.0
T_STDP,6,18,462.5,0.0
T_STDP,6,19,487.5,0.0
SRDP,6,0,12.5,0.0
SRDP,6,1,37.5,0.18134715025906736
SRDP,6,2,62.5,0.32124352331606215
SRDP,6,3,87.5,0.16062176165803108
SRDP,6,4,112.5,0.07253886010362694
SRDP,6,5,137.5,0.03626943005181347
SRDP,6,6,162.5,0.0051813471502590676
SRDP,6,7,187.5,0.18134715025906736
SRDP,6,8,212.5,0.010362694300518135
SRDP,6,9,237.5,0.0
SRDP,6,10,262.5,0.0
SRDP,6,11,287.5,0.0
SRDP,6,12,312.5,0.0
SRDP,6,13,337.5,0.0051813471502590676
SRDP,6,14,362.5,0.0
SRDP,6,15,387.5,0.010362694300518135
SRDP,6,16,412.5,0.0051813471502590676
SRDP,6,17,437.5,0.0051813471502590676
SRDP,6,18,462.5,0.0
SRDP,6,19,487.5,0.0051813471502590676
STDP,7,0,12.5,0.0
STDP,7,1,37.5,0.0
STDP,7,2,62.5,0.11904761904761904
STDP,7,3,87.5,0.20238095238095238
STDP,7,4,112.5,0.07142857142857142
STDP,7,5,137.5,0.05357142857142857
STDP,7,6,162.5,0.06547619047619048
STDP,7,7,187.5,0.14285714285714285
STDP,7,8,212.5,0.011904761904761904
STDP,7,9,237.5,0.17857142857142858
STDP,7,10,262.5,0.02976190476190476
STDP,7,11,287.5,0.02976190476190476
STDP,7,12,312.5,0.0
STDP,7,13,337.5,0.05952380952380952
STDP,7,14,362.5,0.0
STDP,7,15,387.5,0.017857142857142856
STDP,7,16,412.5,0.005952380952380952
STDP,7,17,437.5,0.005952380952380952
STDP,7,18,462.5,0.0
STDP,7,19,487.5,0.005952380952380952
T_STDP,7,0,12.5,0.0
T_STDP,7,1,37.5,0.006802721088435374
T_STDP,7,2,62.5,0.14285714285714285
T_STDP,7,3,87.5,0.3877551020408163
T_STDP,7,4,112.5,0.1564625850340136
T_STDP,7,5,137.5,0.04081632653061224
T_STDP,7,6,162.5,0.027210884353741496
T_STDP,7,7,187.5,0.12244897959183673
T_STDP,7,8,212.5,0.006802721088435374
T_STDP,7,9,237.5,0.047619047619047616
T_STDP,7,10,262.5,0.0
T_STDP,7,11,287.5,0.0
T_STDP,7,12,312.5,0.0
T_STDP,7,13,337.5,0.006802721088435374
T_STDP,7,14,362.5,0.0
T_STDP,7,15,387.5,0.0
T_STDP,7,16,412.5,0.006802721088435374
T_STDP,7,17,437.5,0.0
T_STDP,7,18,462.5,0.013605442176870748
T_STDP,7,19,487.5,0.034013605442176874
SRDP,7,0,12.5,0.0
SRDP,7,1,37.5,0.05357142857142857
SRDP,7,2,62.5,0.3630952380952381
SRDP,7,3,87.5,0.16071428571428573
SRDP,7,4,112.5,0.041666666666666664
SRDP,7,5,137.5,0.041666666666666664
SRDP,7,6,162.5,0.0
SRDP,7,7,187.5,0.10119047619047619
SRDP,7,8,212.5,0.011904761904761904
SRDP,7,9,237.5,0.047619047619047616
SRDP,7,10,262.5,0.011904761904761904
SRDP,7,11,287.5,0.011904761904761904
SRDP,7,12,312.5,0.005952380952380952
SRDP,7,13,337.5,0.041666666666666664
SRDP,7,14,362.5,0.005952380952380952
SRDP,7,15,387.5,0.005952380952380952
SRDP,7,16,412.5,0.0
SRDP,7,17,437.5,0.011904761904761904
SRDP,7,18,462.5,0.03571428571428571
SRDP,7,19,487.5,0.047619047619047616
STDP,8,0,12.5,0.0
STDP,8,1,37.5,0.0
STDP,8,2,62.5,0.06220095693779904
STDP,8,3,87.5,0.13875598086124402
STDP,8,4,112.5,0.12440191387559808
STDP,8,5,137.5,0.1722488038277512
STDP,8,6,162.5,0.1674641148325359
STDP,8,7,187.5,0.18660287081339713
STDP,8,8,212.5,0.023923444976076555
STDP,8,9,237.5,0.019138755980861243
STDP,8,10,262.5,0.028708133971291867
STDP,8,11,287.5,0.019138755980861243
STDP,8,12,312.5,0.004784688995215311
STDP,8,13,337.5,0.014354066985645933
STDP,8,14,362.5,0.004784688995215311
STDP,8,15,387.5,0.014354066985645933
STDP,8,16,412.5,0.014354066985645933
STDP,8,17,437.5,0.0
STDP,8,18,462.5,0.004784688995215311
STDP,8,19,487.5,0.0
T_STDP,8,0,12.5,0.0
T_STDP,8,1,37.5,0.025510204081632654
T_STDP,8,2,62.5,0.1377551020408163
T_STDP,8,3,87.5,0.17857142857142858
T_STDP,8,4,112.5,0.17857142857142858
T_STDP,8,5,137.5,0.2193877551020408
T_STDP,8,6,162.5,0.12755102040816327
T_STDP,8,7,187.5,0.11224489795918367
T_STDP,8,8,212.5,0.00510204081632653
T_STDP,8,9,237.5,0.00510204081632653
T_STDP,8,10,262.5,0.0
T_STDP,8,11,287.5,0.0
T_STDP,8,12,312.5,0.0
T_STDP,8,13,337.5,0.0
T_STDP,8,14,362.5,0.0
T_STDP,8,15,387.5,0.0
T_STDP,8,16,412.5,0.00510204081632653
T_STDP,8,17,437.5,0.0
T_STDP,8,18,462.5,0.00510204081632653
T_STDP,8,19,487.5,0.0
SRDP,8,0,12.5,0.0
SRDP,8,1,37.5,0.23706896551724138
SRDP,8,2,62.5,0.23275862068965517
SRDP,8,3,87.5,0.1939655172413793
SRDP,8,4,112.5,0.0603448275862069
SRDP,8,5,137.5,0.05172413793103448
SRDP,8,6,162.5,0.008620689655172414
SRDP,8,7,187.5,0.09051724137931035
SRDP,8,8,212.5,0.008620689655172414
SRDP,8,9,237.5,0.01293103448275862
SRDP,8,10,262.5,0.03017241379310345
SRDP,8,11,287.5,0.01293103448275862
SRDP,8,12,312.5,0.01293103448275862
SRDP,8,13,337.5,0.0
SRDP,8,14,362.5,0.004310344827586207
SRDP,8,15,387.5,0.017241379310344827
SRDP,8,16,412.5,0.01293103448275862
SRDP,8,17,437.5,0.0
SRDP,8,18,462.5,0.008620689655172414
SRDP,8,19,487.5,0.004310344827586207
STDP,9,0,12.5,0.0
STDP,9,1,37.5,0.005154639175257732
STDP,9,2,62.5,0.08762886597938144
STDP,9,3,87.5,0.061855670103092786
STDP,9,4,112.5,0.1134020618556701
STDP,9,5,137.5,0.07731958762886598
STDP,9,6,162.5,0.30927835051546393
STDP,9,7,187.5,0.06701030927835051
STDP,9,8,212.5,0.08247422680412371
STDP,9,9,237.5,0.030927835051546393
STDP,9,10,262.5,0.015463917525773196
STDP,9,11,287.5,0.0
STDP,9,12,312.5,0.015463917525773196
STDP,9,13,337.5,0.08762886597938144
STDP,9,14,362.5,0.010309278350515464
STDP,9,15,387.5,0.0
STDP,9,16,412.5,0.005154639175257732
STDP,9,17,437.5,0.005154639175257732
STDP,9,18,462.5,0.005154639175257732
STDP,9,19,487.5,0.020618556701030927
T_STDP,9,0,12.5,0.0
T_STDP,9,1,37.5,0.01818181818181818
T_STDP,9,2,62.5,0.11515151515151516
T_STDP,9,3,87.5,0.17575757575757575
T_STDP,9,4,112.5,0.18787878787878787
T_STDP,9,5,137.5,0.06666666666666667
T_STDP,9,6,162.5,0.3575757575757576
T_STDP,9,7,187.5,0.012121212121212121
T_STDP,9,8,212.5,0.012121212121212121
T_STDP,9,9,237.5,0.012121212121212121
T_STDP,9,10,262.5,0.0
T_STDP,9,11,287.5,0.0
T_STDP,9,12,312.5,0.012121212121212121
T_STDP,9,13,337.5,0.006060606060606061
T_STDP,9,14,362.5,0.0
T_STDP,9,15,387.5,0.0
T_STDP,9,16,412.5,0.0
T_STDP,9,17,437.5,0.006060606060606061
T_STDP,9,18,462.5,0.0
T_STDP,9,19,487.5,0.01818181818181818
SRDP,9,0,12.5,0.0
SRDP,9,1,37.5,0.014925373134328358
SRDP,9,2,62.5,0.27860696517412936
SRDP,9,3,87.5,0.24875621890547264
SRDP,9,4,112.5,0.14925373134328357
SRDP,9,5,137.5,0.029850746268656716
SRDP,9,6,162.5,0.23383084577114427
SRDP,9,7,187.5,0.0
SRDP,9,8,212.5,0.0
SRDP,9,9,237.5,0.004975124378109453
SRDP,9,10,262.5,0.009950248756218905
SRDP,9,11,287.5,0.01990049751243781
SRDP,9,12,312.5,0.004975124378109453
SRDP,9,13,337.5,0.004975124378109453
SRDP,9,14,362.5,0.0
SRDP,9,15,387.5,0.0
SRDP,9,16,412.5,0.0
SRDP,9,17,437.5,0.0
SRDP,9,18,462.5,0.0
SRDP,9,19,487.5,0.0
STDP,10,0,12.5,0.0
STDP,10,1,37.5,0.0
STDP,10,2,62.5,0.11413043478260869
STDP,10,3,87.5,0.04891304347826087
STDP,10,4,112.5,0.10326086956521739
STDP,10,5,137.5,0.07065217391304347
STDP,10,6,162.5,0.29347826086956524
STDP,10,7,187.5,0.10869565217391304
STDP,10,8,212.5,0.04891304347826087
STDP,10,9,237.5,0.03804347826086957
STDP,10,10,262.5,0.021739130434782608
STDP,10,11,287.5,0.0
STDP,10,12,312.5,0.005434782608695652
STDP,10,13,337.5,0.10326086956521739
STDP,10,14,362.5,0.0
STDP,10,15,387.5,0.03260869565217391
STDP,10,16,412.5,0.0
STDP,10,17,437.5,0.010869565217391304
STDP,10,18,462.5,0.0
STDP,10,19,487.5,0.0
T_STDP,10,0,12.5,0.0
T_STDP,10,1,37.5,0.0
T_STDP,10,2,62.5,0.12048192771084337
T_STDP,10,3,87.5,0.14457831325301204
T_STDP,10,4,112.5,0.0963855421686747
T_STDP,10,5,137.5,0.06626506024096386
T_STDP,10,6,162.5,0.3072289156626506
T_STDP,10,7,187.5,0.0783132530120482
T_STDP,10,8,212.5,0.012048192771084338
T_STDP,10,9,237.5,0.024096385542168676
T_STDP,10,10,262.5,0.018072289156626505
T_STDP,10,11,287.5,0.0
T_STDP,10,12,312.5,0.006024096385542169
T_STDP,10,13,337.5,0.0963855421686747
T_STDP,10,14,362.5,0.0
T_STDP,10,15,387.5,0.024096385542168676
T_STDP,10,16,412.5,0.006024096385542169
T_STDP,10,17,437.5,0.0
T_STDP,10,18,462.5,0.0
T_STDP,10,19,487.5,0.0
SRDP,10,0,12.5,0.0
SRDP,10,1,37.5,0.031088082901554404
SRDP,10,2,62.5,0.41968911917098445
SRDP,10,3,87.5,0.20207253886010362
SRDP,10,4,112.5,0.11917098445595854
SRDP,10,5,137.5,0.031088082901554404
SRDP,10,6,162.5,0.06217616580310881
SRDP,10,7,187.5,0.03626943005181347
SRDP,10,8,212.5,0.0
SRDP,10,9,237.5,0.0
SRDP,10,10,262.5,0.0051813471502590676
SRDP,10,11,287.5,0.0
SRDP,10,12,312.5,0.0
SRDP,10,13,337.5,0.0051813471502590676
SRDP,10,14,362.5,0.0
SRDP,10,15,387.5,0.0051813471502590676
SRDP,10,16,412.5,0.0
SRDP,10,17,437.5,0.0051813471502590676
SRDP,10,18,462.5,0.03626943005181347
SRDP,10,19,487.5,0.04145077720207254
