search_idx,search_id,rep,status,elapsed_sec,A_plus,A_minus,tau_plus,tau_minus,tau_pre_M,tau_post_M,A_pre_M,A_post_M,wmin,wmax,eps_w
131,search_131,1,success,17818.15269088745,0.0007,0.0006,11.7,14.0,14.0,13.0,4e-05,3e-05,-1.0,1.0,1e-12
132,search_132,1,success,17671.229102134705,0.0007,0.0006,11.7,14.0,14.0,14.0,4e-05,3e-05,-1.0,1.0,1e-12
133,search_133,1,success,17529.762445926666,0.0007,0.0006,11.7,14.0,14.0,15.0,4e-05,3e-05,-1.0,1.0,1e-12
134,search_134,1,success,17475.14562892914,0.0007,0.0006,11.7,14.0,14.0,16.0,4e-05,3e-05,-1.0,1.0,1e-12
135,search_135,1,success,17347.74769616127,0.0007,0.0006,11.7,14.0,14.0,17.0,4e-05,3e-05,-1.0,1.0,1e-12
136,search_136,1,success,17971.259829998016,0.0007,0.0006,11.7,14.0,15.0,13.0,4e-05,3e-05,-1.0,1.0,1e-12
137,search_137,1,success,17851.765903949738,0.0007,0.0006,11.7,14.0,15.0,14.0,4e-05,3e-05,-1.0,1.0,1e-12
138,search_138,1,success,17838.527676820755,0.0007,0.0006,11.7,14.0,15.0,15.0,4e-05,3e-05,-1.0,1.0,1e-12
139,search_139,1,success,17741.074099063873,0.0007,0.0006,11.7,14.0,15.0,16.0,4e-05,3e-05,-1.0,1.0,1e-12
140,search_140,1,success,17545.229261875153,0.0007,0.0006,11.7,14.0,15.0,17.0,4e-05,3e-05,-1.0,1.0,1e-12
141,search_141,1,success,17950.453830957413,0.0007,0.0006,11.7,14.0,16.0,13.0,4e-05,3e-05,-1.0,1.0,1e-12
142,search_142,1,success,17731.661694288254,0.0007,0.0006,11.7,14.0,16.0,14.0,4e-05,3e-05,-1.0,1.0,1e-12
143,search_143,1,success,17822.417912960052,0.0007,0.0006,11.7,14.0,16.0,15.0,4e-05,3e-05,-1.0,1.0,1e-12
144,search_144,1,success,17692.679464817047,0.0007,0.0006,11.7,14.0,16.0,16.0,4e-05,3e-05,-1.0,1.0,1e-12
145,search_145,1,success,17674.601387023926,0.0007,0.0006,11.7,14.0,16.0,17.0,4e-05,3e-05,-1.0,1.0,1e-12
146,search_146,1,success,18048.34507393837,0.0007,0.0006,11.7,14.0,17.0,13.0,4e-05,3e-05,-1.0,1.0,1e-12
147,search_147,1,success,17975.614186286926,0.0007,0.0006,11.7,14.0,17.0,14.0,4e-05,3e-05,-1.0,1.0,1e-12
148,search_148,1,success,17900.32390499115,0.0007,0.0006,11.7,14.0,17.0,15.0,4e-05,3e-05,-1.0,1.0,1e-12
149,search_149,1,success,17903.94832611084,0.0007,0.0006,11.7,14.0,17.0,16.0,4e-05,3e-05,-1.0,1.0,1e-12
150,search_150,1,success,17870.772336244583,0.0007,0.0006,11.7,14.0,17.0,17.0,4e-05,3e-05,-1.0,1.0,1e-12
151,search_151,1,success,17502.399811029434,0.0007,0.0006,11.7,14.0,13.0,13.0,4e-05,4e-05,-1.0,1.0,1e-12
152,search_152,1,success,17273.48196697235,0.0007,0.0006,11.7,14.0,13.0,14.0,4e-05,4e-05,-1.0,1.0,1e-12
153,search_153,1,success,17125.090427160263,0.0007,0.0006,11.7,14.0,13.0,15.0,4e-05,4e-05,-1.0,1.0,1e-12
154,search_154,1,success,16969.07013607025,0.0007,0.0006,11.7,14.0,13.0,16.0,4e-05,4e-05,-1.0,1.0,1e-12
155,search_155,1,success,16617.725910186768,0.0007,0.0006,11.7,14.0,13.0,17.0,4e-05,4e-05,-1.0,1.0,1e-12
156,search_156,1,success,17368.628056049347,0.0007,0.0006,11.7,14.0,14.0,13.0,4e-05,4e-05,-1.0,1.0,1e-12
157,search_157,1,success,17247.882921218872,0.0007,0.0006,11.7,14.0,14.0,14.0,4e-05,4e-05,-1.0,1.0,1e-12
158,search_158,1,success,17173.548973083496,0.0007,0.0006,11.7,14.0,14.0,15.0,4e-05,4e-05,-1.0,1.0,1e-12
159,search_159,1,success,17114.848530054092,0.0007,0.0006,11.7,14.0,14.0,16.0,4e-05,4e-05,-1.0,1.0,1e-12
160,search_160,1,success,16949.80464696884,0.0007,0.0006,11.7,14.0,14.0,17.0,4e-05,4e-05,-1.0,1.0,1e-12
161,search_161,1,success,17575.46284222603,0.0007,0.0006,11.7,14.0,15.0,13.0,4e-05,4e-05,-1.0,1.0,1e-12
162,search_162,1,success,17322.50347685814,0.0007,0.0006,11.7,14.0,15.0,14.0,4e-05,4e-05,-1.0,1.0,1e-12
163,search_163,1,success,17289.920345783234,0.0007,0.0006,11.7,14.0,15.0,15.0,4e-05,4e-05,-1.0,1.0,1e-12
164,search_164,1,success,17177.02968096733,0.0007,0.0006,11.7,14.0,15.0,16.0,4e-05,4e-05,-1.0,1.0,1e-12
165,search_165,1,success,17013.520844221115,0.0007,0.0006,11.7,14.0,15.0,17.0,4e-05,4e-05,-1.0,1.0,1e-12
166,search_166,1,success,17699.27316904068,0.0007,0.0006,11.7,14.0,16.0,13.0,4e-05,4e-05,-1.0,1.0,1e-12
167,search_167,1,success,17557.787523031235,0.0007,0.0006,11.7,14.0,16.0,14.0,4e-05,4e-05,-1.0,1.0,1e-12
168,search_168,1,success,17349.999235868454,0.0007,0.0006,11.7,14.0,16.0,15.0,4e-05,4e-05,-1.0,1.0,1e-12
169,search_169,1,success,17072.755705833435,0.0007,0.0006,11.7,14.0,16.0,16.0,4e-05,4e-05,-1.0,1.0,1e-12
170,search_170,1,success,17052.10147690773,0.0007,0.0006,11.7,14.0,16.0,17.0,4e-05,4e-05,-1.0,1.0,1e-12
171,search_171,1,success,17451.11523294449,0.0007,0.0006,11.7,14.0,17.0,13.0,4e-05,4e-05,-1.0,1.0,1e-12
172,search_172,1,success,17335.538868904114,0.0007,0.0006,11.7,14.0,17.0,14.0,4e-05,4e-05,-1.0,1.0,1e-12
173,search_173,1,success,17445.740749120712,0.0007,0.0006,11.7,14.0,17.0,15.0,4e-05,4e-05,-1.0,1.0,1e-12
174,search_174,1,success,17248.93567609787,0.0007,0.0006,11.7,14.0,17.0,16.0,4e-05,4e-05,-1.0,1.0,1e-12
175,search_175,1,success,17109.46489715576,0.0007,0.0006,11.7,14.0,17.0,17.0,4e-05,4e-05,-1.0,1.0,1e-12
176,search_176,1,success,16797.150952100754,0.0007,0.0006,11.7,14.0,13.0,13.0,4e-05,5e-05,-1.0,1.0,1e-12
177,search_177,1,success,16731.096128940582,0.0007,0.0006,11.7,14.0,13.0,14.0,4e-05,5e-05,-1.0,1.0,1e-12
178,search_178,1,success,16609.846795082092,0.0007,0.0006,11.7,14.0,13.0,15.0,4e-05,5e-05,-1.0,1.0,1e-12
179,search_179,1,success,16561.536413908005,0.0007,0.0006,11.7,14.0,13.0,16.0,4e-05,5e-05,-1.0,1.0,1e-12
180,search_180,1,success,16545.89245915413,0.0007,0.0006,11.7,14.0,13.0,17.0,4e-05,5e-05,-1.0,1.0,1e-12
181,search_181,1,success,16867.968913793564,0.0007,0.0006,11.7,14.0,14.0,13.0,4e-05,5e-05,-1.0,1.0,1e-12
182,search_182,1,success,16911.386448144913,0.0007,0.0006,11.7,14.0,14.0,14.0,4e-05,5e-05,-1.0,1.0,1e-12
183,search_183,1,success,16533.41196703911,0.0007,0.0006,11.7,14.0,14.0,15.0,4e-05,5e-05,-1.0,1.0,1e-12
184,search_184,1,success,16499.438405275345,0.0007,0.0006,11.7,14.0,14.0,16.0,4e-05,5e-05,-1.0,1.0,1e-12
185,search_185,1,success,16508.34229516983,0.0007,0.0006,11.7,14.0,14.0,17.0,4e-05,5e-05,-1.0,1.0,1e-12
186,search_186,1,success,16967.816097021103,0.0007,0.0006,11.7,14.0,15.0,13.0,4e-05,5e-05,-1.0,1.0,1e-12
187,search_187,1,success,16733.580012083054,0.0007,0.0006,11.7,14.0,15.0,14.0,4e-05,5e-05,-1.0,1.0,1e-12
188,search_188,1,success,16780.201335906982,0.0007,0.0006,11.7,14.0,15.0,15.0,4e-05,5e-05,-1.0,1.0,1e-12
189,search_189,1,success,16706.51440000534,0.0007,0.0006,11.7,14.0,15.0,16.0,4e-05,5e-05,-1.0,1.0,1e-12
190,search_190,1,success,16628.08278799057,0.0007,0.0006,11.7,14.0,15.0,17.0,4e-05,5e-05,-1.0,1.0,1e-12
191,search_191,1,success,17146.937042951584,0.0007,0.0006,11.7,14.0,16.0,13.0,4e-05,5e-05,-1.0,1.0,1e-12
192,search_192,1,success,16983.858742952347,0.0007,0.0006,11.7,14.0,16.0,14.0,4e-05,5e-05,-1.0,1.0,1e-12
193,search_193,1,success,16783.71498799324,0.0007,0.0006,11.7,14.0,16.0,15.0,4e-05,5e-05,-1.0,1.0,1e-12
194,search_194,1,success,16735.50364303589,0.0007,0.0006,11.7,14.0,16.0,16.0,4e-05,5e-05,-1.0,1.0,1e-12
195,search_195,1,success,16676.671645879745,0.0007,0.0006,11.7,14.0,16.0,17.0,4e-05,5e-05,-1.0,1.0,1e-12
196,search_196,1,success,17348.077007055283,0.0007,0.0006,11.7,14.0,17.0,13.0,4e-05,5e-05,-1.0,1.0,1e-12
197,search_197,1,success,16915.219689130783,0.0007,0.0006,11.7,14.0,17.0,14.0,4e-05,5e-05,-1.0,1.0,1e-12
198,search_198,1,success,16883.88418698311,0.0007,0.0006,11.7,14.0,17.0,15.0,4e-05,5e-05,-1.0,1.0,1e-12
199,search_199,1,success,16785.00039625168,0.0007,0.0006,11.7,14.0,17.0,16.0,4e-05,5e-05,-1.0,1.0,1e-12
200,search_200,1,success,16794.059009075165,0.0007,0.0006,11.7,14.0,17.0,17.0,4e-05,5e-05,-1.0,1.0,1e-12
201,search_201,1,success,16353.706999778748,0.0007,0.0006,11.7,14.0,13.0,13.0,4e-05,6e-05,-1.0,1.0,1e-12
202,search_202,1,success,16387.433480978012,0.0007,0.0006,11.7,14.0,13.0,14.0,4e-05,6e-05,-1.0,1.0,1e-12
